years,0.05,0.17,0.5,0.83,0.95
2020,0.048,0.052,0.062,0.074,0.087
2030,0.076,0.089,0.107,0.152,0.197
2040,0.111,0.132,0.164,0.26,0.355
2050,0.164,0.185,0.237,0.4,0.543
2060,0.218,0.245,0.324,0.572,0.769
2070,0.277,0.313,0.428,0.784,1.048
2080,0.343,0.389,0.552,1.036,1.4
2090,0.416,0.474,0.699,1.309,1.806
2100,0.495,0.566,0.869,1.608,2.28
2110,0.574,0.659,1.056,1.902,2.814
2120,0.656,0.754,1.26,2.184,3.418
2130,0.736,0.845,1.482,2.856,4.059
2140,0.812,0.934,1.725,3.805,4.738
2150,0.885,1.016,1.994,4.829,5.44
2160,0.953,1.093,2.271,5.833,6.543
2170,1.017,1.168,2.536,6.798,7.631
2180,1.075,1.238,2.791,7.736,8.531
2190,1.126,1.306,3.039,8.512,9.318
2200,1.175,1.371,3.287,9.211,10.082
2210,1.226,1.434,3.533,9.886,10.826
2220,1.274,1.494,3.758,10.539,11.586
2230,1.32,1.554,3.971,11.194,12.377
2240,1.369,1.611,4.174,11.852,13.173
2250,1.414,1.665,4.373,12.531,13.931
2260,1.459,1.718,4.567,13.224,14.662
2270,1.506,1.77,4.754,13.906,15.378
2280,1.547,1.82,4.941,14.565,16.059
2290,1.583,1.868,5.127,15.201,16.691
2300,1.619,1.915,5.312,15.826,17.304
