years,0.05,0.17,0.5,0.83,0.95
2020,0.048,0.052,0.061,0.073,0.085
2030,0.076,0.085,0.102,0.126,0.148
2040,0.106,0.119,0.147,0.186,0.221
2050,0.138,0.156,0.195,0.252,0.303
2060,0.168,0.192,0.244,0.322,0.39
2070,0.197,0.227,0.296,0.396,0.48
2080,0.225,0.261,0.347,0.471,0.575
2090,0.252,0.294,0.399,0.549,0.671
2100,0.279,0.327,0.452,0.629,0.772
2110,0.302,0.358,0.503,0.707,0.87
2120,0.325,0.387,0.552,0.782,0.966
2130,0.344,0.414,0.598,0.855,1.064
2140,0.363,0.44,0.644,0.928,1.158
2150,0.38,0.464,0.687,0.999,1.252
2160,0.398,0.488,0.73,1.069,1.343
2170,0.414,0.512,0.773,1.139,1.435
2180,0.43,0.534,0.815,1.209,1.528
2190,0.446,0.556,0.857,1.279,1.619
2200,0.461,0.579,0.898,1.348,1.708
2210,0.476,0.6,0.938,1.417,1.799
2220,0.49,0.62,0.978,1.484,1.89
2230,0.504,0.641,1.018,1.551,1.982
2240,0.518,0.661,1.058,1.618,2.072
2250,0.531,0.681,1.097,1.685,2.16
2260,0.545,0.701,1.136,1.751,2.248
2270,0.558,0.719,1.174,1.817,2.336
2280,0.57,0.738,1.212,1.882,2.423
2290,0.582,0.756,1.248,1.947,2.512
2300,0.594,0.773,1.285,2.012,2.6
