years,0.05,0.17,0.5,0.83,0.95
2020,0.047,0.052,0.06,0.073,0.085
2030,0.077,0.085,0.102,0.126,0.15
2040,0.11,0.123,0.149,0.189,0.226
2050,0.148,0.166,0.205,0.264,0.318
2060,0.188,0.212,0.266,0.348,0.42
2070,0.23,0.261,0.332,0.441,0.534
2080,0.274,0.312,0.403,0.543,0.658
2090,0.318,0.365,0.48,0.653,0.795
2100,0.364,0.419,0.559,0.772,0.938
2110,0.407,0.472,0.636,0.885,1.079
2120,0.45,0.523,0.712,0.997,1.218
2130,0.492,0.573,0.786,1.109,1.357
2140,0.532,0.623,0.86,1.219,1.494
2150,0.572,0.671,0.932,1.328,1.63
2160,0.61,0.719,1.004,1.437,1.765
2170,0.648,0.765,1.074,1.543,1.896
2180,0.684,0.81,1.141,1.645,2.023
2190,0.719,0.853,1.206,1.746,2.15
2200,0.753,0.894,1.27,1.847,2.274
2210,0.784,0.933,1.332,1.943,2.397
2220,0.814,0.97,1.392,2.039,2.521
2230,0.843,1.006,1.45,2.133,2.639
2240,0.87,1.041,1.506,2.223,2.76
2250,0.896,1.073,1.562,2.313,2.88
2260,0.919,1.104,1.616,2.402,2.996
2270,0.943,1.135,1.668,2.492,3.112
2280,0.966,1.164,1.72,2.58,3.228
2290,0.988,1.194,1.772,2.667,3.347
2300,1.008,1.221,1.822,2.751,3.463
