years,0.05,0.17,0.5,0.83,0.95
2020,0.047,0.052,0.06,0.073,0.085
2030,0.077,0.085,0.102,0.127,0.151
2040,0.112,0.125,0.152,0.192,0.23
2050,0.154,0.173,0.212,0.272,0.329
2060,0.201,0.227,0.282,0.365,0.444
2070,0.253,0.286,0.36,0.473,0.576
2080,0.31,0.352,0.448,0.595,0.727
2090,0.372,0.423,0.546,0.734,0.898
2100,0.44,0.502,0.656,0.89,1.092
2110,0.51,0.584,0.766,1.047,1.281
2120,0.581,0.667,0.88,1.205,1.474
2130,0.655,0.752,0.994,1.362,1.665
2140,0.728,0.836,1.105,1.517,1.856
2150,0.8,0.916,1.213,1.668,2.04
2160,0.869,0.995,1.318,1.816,2.224
2170,0.936,1.071,1.42,1.963,2.406
2180,0.999,1.142,1.518,2.108,2.584
2190,1.058,1.21,1.615,2.25,2.761
2200,1.116,1.278,1.709,2.387,2.942
2210,1.171,1.342,1.803,2.526,3.114
2220,1.225,1.406,1.895,2.663,3.287
2230,1.277,1.468,1.986,2.799,3.456
2240,1.327,1.53,2.076,2.934,3.629
2250,1.376,1.59,2.164,3.067,3.799
2260,1.424,1.649,2.251,3.2,3.967
2270,1.472,1.706,2.337,3.332,4.134
2280,1.517,1.763,2.423,3.462,4.299
2290,1.56,1.819,2.508,3.593,4.457
2300,1.605,1.874,2.593,3.722,4.621
